close,high,low,date
"22,734.00","22,787.50","22,705.00",20170419
"22,650.00","22,803.00","22,680.00",20170418
"22,670.00","22,745.00","22,681.00",20170417
"22,750.00","22,787.50","22,652.00",20170414
"22,590.00","22,725.00","22,634.00",20170413
"22,670.00","22,687.00","22,646.00",20170412
"22,653.00","22,693.00","22,630.00",20170411
"22,595.00","22,722.50","22,632.50",20170410
"22,605.00","22,733.50","22,632.50",20174207
"22,640.00","22,707.50","22,690.00",20174206
"22,680.00","22,735.00","22,676.50",20174205
"22,690.00","22,780.50","22,681.00",20174204
"22,730.00","22,797.00","22,720.00",20174203
"22,750.00","22,784.00","22,737.50",20170331
"22,765.00","22,786.50","22,738.50",20170330
"22,773.00","22,805.00","22,751.00",20170329
"22,770.00","22,792.50","22,751.00",20170328
"22,773.00","22,797.50","22,761.00",20170327
"22,785.00","22,805.00","22,760.00",20170324
"22,790.00","22,810.00","22,757.50",20170323
"22,773.00","22,789.00","22,760.50",20170322
"22,780.00","22,812.00","22,766.00",20170321
"22,790.00","22,830.00","22,772.00",20170320
"22,782.00","22,821.50","22,755.00",20170317
"22,770.00","22,821.50","22,752.50",20170316
"22,825.00","22,837.50","22,792.50",20170315
"22,800.00","22,822.00","22,785.00",20170314
"22,800.00","22,836.00","22,780.00",20170313
"22,760.00","22,826.00","22,713.50",20170310
"22,800.00","22,837.50","22,784.50",20173209
"22,795.00","22,810.00","22,774.50",20173208
"22,800.00","22,822.50","22,781.00",20173207
"22,800.00","22,850.00","22,790.00",20173206
"22,840.00","22,860.00","22,812.50",20173203
"22,815.00","22,840.00","22,765.50",20173202
"22,790.00","22,820.00","22,758.50",20173201
"22,750.00","22,817.50","22,740.00",20170228
"22,777.00","22,842.50","22,767.50",20170227
"22,815.00","22,850.00","22,802.00",20170224
"22,790.00","22,852.00","22,755.00",20170223
"22,830.00","22,862.50","22,805.00",20170222
"22,830.00","22,845.00","22,797.50",20170221
"22,814.00","22,837.50","22,765.00",20170220
"22,760.00","22,805.00","22,710.00",20170217
"22,760.00","22,792.50","22,742.50",20170216
"22,775.00","22,782.50","22,732.50",20170215
"22,740.00","22,750.00","22,662.00",20170214
"22,670.00","22,685.00","22,582.50",20170213
"22,640.00","22,672.50","22,582.50",20170210
"22,665.00","22,695.00","22,657.50",20172209
"22,650.00","22,672.50","22,572.50",20172208
"22,590.00","22,615.00","22,567.50",20172207
"22,580.00","22,637.50","22,576.50",20172206
"22,615.00","22,660.00","22,614.00",20172203
"22,640.00","22,645.00","22,552.50",20172202
"22,590.00","22,590.00","22,590.00",20172201
"22,590.00","22,590.00","22,590.00",20170131
"22,590.00","22,590.00","22,590.00",20170130
"22,590.00","22,590.00","22,590.00",20170127
"22,590.00","22,590.00","22,590.00",20170126
"22,590.00","22,605.00","22,562.50",20170125
"22,570.00","22,585.00","22,545.00",20170124
"22,550.00","22,585.00","22,542.50",20170123
"22,570.00","22,586.50","22,547.50",20170120
"22,564.00","22,574.00","22,562.50",20170119
"22,572.00","22,586.00","22,555.00",20170118
"22,570.00","22,586.00","22,555.00",20170117
"22,570.00","22,585.00","22,544.50",20170116
"22,560.00","22,587.50","22,549.50",20170113
"22,570.00","22,640.00","22,549.50",20170112
"22,570.00","22,591.00","22,551.50",20170111
"22,570.00","22,595.00","22,555.00",20170110
"22,580.00","22,582.50","22,520.00",20171209
"22,560.00","22,595.00","22,547.50",20171206
"22,675.00","22,777.50","22,637.50",20171205
"22,725.00","22,748.00","22,700.00",20171204
"22,745.00","22,775.00","22,725.00",20171203
"22,770.00","22,770.00","22,770.00",20171202
"22,770.00","22,790.00","22,742.50",20161230
"22,777.00","22,794.00","22,751.00",20161229
"22,770.00","22,785.00","22,749.00",20161228
"22,762.00","22,781.00","22,740.50",20161227
"22,762.00","22,782.50","22,730.50",20161226
"22,755.00","22,779.00","22,735.00",20161223
"22,759.00","22,763.00","22,757.00",20161222
"22,766.00","22,783.50","22,754.00",20161221
"22,760.00","22,779.00","22,737.00",20161220
"22,755.00","22,766.00","22,755.00",20161219
"22,745.00","22,757.50","22,750.00",20161216
"22,740.00","22,765.00","22,719.00",20161215
"22,710.00","22,745.00","22,626.50",20161214
"22,655.00","22,678.00","22,595.00",20161213
"22,620.00","22,667.50","22,612.50",20161212
"22,585.00","22,620.00","22,570.00",20161209
"22,630.00","22,700.00","22,627.00",20161208
"22,680.00","22,747.50","22,692.50",20161207
"22,720.00","22,750.00","22,709.00",20161206
"22,710.00","22,735.00","22,660.00",20161205
"22,660.00","22,730.00","22,669.00",20161202
"22,680.00","22,715.00","22,675.00",20161201
"22,640.00","22,692.50","22,645.00",20161130
"22,670.00","22,735.00","22,660.00",20161129
"22,700.00","22,750.00","22,690.00",20161128
"22,725.00","22,780.00","22,660.00",20161125
"22,760.00","22,777.50","22,666.00",20161124
"22,554.00","22,667.50","22,594.50",20161123
"22,478.00","22,563.00","22,508.00",20161122
"22,560.00","22,575.00","22,522.50",20161121
"22,456.00","22,590.00","22,470.00",20161118
"22,366.00","22,437.00","22,362.50",20161117
"22,381.00","22,406.50","22,354.50",20161116
"22,307.00","22,372.00","22,300.00",20161115
"22,304.00","22,365.00","22,290.00",20161114
"22,320.00","22,340.00","22,304.00",20161111
"22,275.00","22,355.00","22,295.00",20161110
"22,268.00","22,361.00","22,301.50",20161109
"22,312.00","22,358.50","22,322.00",20161108
"22,295.00","22,352.50","22,290.00",20161107
"22,268.00","22,346.50","22,296.00",20161104
"22,268.00","22,345.50","22,293.80",20161103
"22,268.00","22,342.50","22,293.80",20161102
"22,284.00","22,346.50","22,303.50",20161101
"22,284.00","22,341.50","22,303.50",20161031
"22,283.00","22,344.00","22,304.00",20161028
"22,325.00","22,352.00","22,317.00",20161027
"22,313.00","22,356.00","22,309.50",20161026
"22,283.00","22,354.00","22,299.00",20161025
"22,265.00","22,339.50","22,287.50",20161024
"22,273.00","22,337.50","22,283.00",20161021
"22,258.00","22,330.00","22,281.00",20161020
"22,255.00","22,329.00","22,281.30",20161019
"22,265.00","22,328.30","22,280.50",20161018
"22,308.00","22,324.50","22,291.80",20161017
"22,256.00","22,327.00","22,280.00",20161014
"22,253.00","22,326.00","22,277.00",20161013
"22,248.00","22,323.00","22,275.00",20161012
"22,258.00","22,322.00","22,277.00",20161011
"22,295.00","22,319.00","22,285.50",20161010
"22,253.00","22,322.50","22,278.00",20161007
"22,253.00","22,323.50","22,279.00",20161006
"22,275.00","22,325.50","22,290.30",20161005
"22,283.00","22,326.00","22,291.00",20161004
"22,304.00","22,324.50","22,281.50",20161003
"22,281.00","22,324.50","22,282.50",20160930
"22,280.00","22,328.00","22,281.80",20160929
"22,291.00","22,332.50","22,286.00",20160928
"22,278.00","22,339.00","22,286.00",20160927
"22,289.00","22,340.00","22,296.00",20160926
"22,289.00","22,330.00","22,281.00",20160923
"22,283.00","22,336.50","22,291.50",20160922
"22,298.00","22,351.00","22,296.50",20160921
"22,276.00","22,336.50","22,288.50",20160920
"22,261.00","22,333.00","22,281.00",20160919
"22,288.00","22,330.50","22,285.00",20160916
"22,283.00","22,329.50","22,279.50",20160915
"22,258.00","22,326.50","22,267.00",20160914
"22,278.00","22,318.50","22,285.50",20160913
"22,226.00","22,318.00","22,263.50",20160912
"22,277.00","22,315.50","22,285.30",20169209
"22,255.00","22,317.50","22,274.00",20169208
"22,277.00","22,312.50","22,288.00",20169207
"22,276.00","22,315.50","22,275.50",20169206
"22,301.00","22,320.00","22,281.00",20169205
"22,251.00","22,294.50","22,281.50",20169202
"22,273.00","22,320.00","22,285.50",20169201
"22,300.00","22,323.50","22,281.00",20160831
"22,248.00","22,335.50","22,278.50",20160830
"22,248.00","22,335.50","22,275.00",20160829
"22,283.00","22,331.50","22,281.00",20160826
"22,278.00","22,328.30","22,280.00",20160825
"22,276.00","22,324.50","22,274.00",20160824
"22,275.00","22,323.50","22,274.00",20160823
"22,248.00","22,321.80","22,263.00",20160822
"22,248.00","22,319.80","22,274.00",20160819
"22,257.00","22,316.30","22,278.50",20160818
"22,279.00","22,315.80","22,285.00",20160817
"22,278.00","22,315.00","22,280.00",20160816
"22,278.00","22,332.50","22,280.00",20160815
"22,298.00","22,330.00","22,289.00",20160812
"22,278.00","22,329.00","22,288.00",20160811
"22,276.00","22,326.00","22,280.00",20160810
"22,273.00","22,324.00","22,269.00",20168209
"22,238.00","22,322.50","22,267.00",20168208
"22,295.00","22,315.00","22,280.00",20168205
"22,260.00","22,315.00","22,280.00",20168204
"22,234.00","22,318.50","22,267.50",20168203
"22,278.00","22,319.00","22,255.00",20168202
"22,253.00","22,315.00","22,275.50",20168201
"22,273.00","22,313.00","22,285.50",20160729
"22,278.00","22,315.00","22,284.50",20160728
"22,300.00","22,316.00","22,285.50",20160727
"22,278.00","22,313.50","22,290.00",20160726
"22,278.00","22,310.50","22,291.50",20160725
"22,282.00","22,306.50","22,290.50",20160722
"22,280.00","22,317.30","22,286.50",20160721
"22,248.00","22,319.50","22,275.50",20160720
"22,270.00","22,316.00","22,285.50",20160719
"22,278.00","22,316.00","22,285.50",20160718
"22,278.00","22,326.00","22,269.50",20160715
"22,277.00","22,309.50","22,289.50",20160714
"22,279.00","22,323.00","22,290.50",20160713
"22,254.00","22,318.50","22,277.50",20160712
"22,273.00","22,308.50","22,286.50",20160711
"22,275.00","22,305.00","22,287.50",20167208
"22,278.00","22,336.00","22,290.50",20167207
"22,278.00","22,337.50","22,292.00",20167206
"22,305.00","22,310.50","22,303.00",20167205
"22,305.00","22,310.50","22,303.00",20167204
"22,281.00","22,335.50","22,292.00",20167201
"22,281.00","22,337.00","22,281.50",20160630
"22,258.00","22,335.00","22,285.50",20160629
"22,265.00","22,350.50","22,285.50",20160628
"22,313.00","22,362.00","22,280.50",20160627
"22,288.00","22,352.50","22,280.50",20160624
"22,281.00","22,318.50","22,287.50",20160623
"22,257.00","22,317.50","22,278.50",20160622
"22,322.00","22,415.00","22,285.00",20160621
"22,322.00","22,428.00","22,295.00",20160620
"22,322.00","22,415.00","22,285.50",20160617
"22,262.00","22,332.50","22,285.00",20160616
"22,322.00","22,415.00","22,299.00",20160615
"22,344.00","22,436.00","22,288.00",20160614
"22,344.00","22,436.00","22,307.50",20160613
"22,320.00","22,357.50","22,317.50",20160610
"22,296.00","22,372.50","22,320.00",20166209
"22,288.00","22,367.50","22,310.50",20166208
"22,318.00","22,397.50","22,329.50",20166207
"22,348.00","22,474.50","22,340.00",20166206
"22,388.00","22,458.50","22,389.50",20166203
"22,364.00","22,470.50","22,400.50",20166202
"22,409.00","22,461.00","22,410.00",20166201
"22,366.00","22,412.50","22,376.00",20160531
"22,415.00","22,437.50","22,390.50",20160530
"22,370.00","22,401.00","22,367.50",20160527
"22,356.00","22,382.50","22,315.50",20160526
"22,306.00","22,357.00","22,313.50",20160525
"22,309.00","22,333.50","22,293.00",20160524
"22,276.00","22,323.00","22,295.00",20160523
"22,315.00","22,320.00","22,315.00",20160520
"22,313.00","22,317.50","22,307.50",20160519
"22,234.00","22,316.00","22,269.00",20160518
"22,278.00","22,323.50","22,287.00",20160517
"22,234.00","22,370.00","22,267.50",20160516
"22,310.00","22,321.50","22,276.00",20160513
"22,300.00","22,322.00","22,278.50",20160512
"22,252.00","22,301.50","22,271.50",20160511
"22,271.00","22,314.00","22,268.00",20160510
"22,251.00","22,302.50","22,265.50",20165209
"22,241.00","22,311.50","22,266.50",20165206
"22,228.00","22,320.50","22,259.00",20165205
"22,228.00","22,322.50","22,259.00",20165204
"22,228.00","22,297.00","22,279.00",20165203
"22,222.00","22,310.50","22,257.00",20165202
"22,244.00","22,316.00","22,266.00",20160429
